"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2022","10,320","10,400","10,400","10,280","639.28K","-1.85%"
"06/03/2022","10,515","10,490","10,550","10,490","506.06K","1.99%"
"06/02/2022","10,310","10,215","10,340","10,215","500.20K","0.83%"
"05/31/2022","10,225","10,335","10,345","10,205","586.55K","-1.35%"
"05/30/2022","10,365","10,250","10,375","10,250","598.26K","4.22%"
"05/27/2022","9,945","9,920","10,010","9,920","1.02M","2.58%"
"05/26/2022","9,695","9,740","9,800","9,695","708.44K","0.05%"
"05/25/2022","9,690","9,695","9,720","9,640","780.19K","0.05%"
"05/24/2022","9,685","9,850","9,850","9,675","948.82K","-2.12%"
"05/23/2022","9,895","9,925","9,925","9,845","1.03M","-0.30%"
"05/20/2022","9,925","9,890","9,975","9,850","1.20M","-0.60%"
"05/19/2022","9,985","9,970","10,005","9,905","1.88M","-4.22%"
"05/18/2022","10,425","10,480","10,480","10,415","626.88K","0.87%"
"05/17/2022","10,335","10,315","10,355","10,280","644.63K","-0.19%"
"05/16/2022","10,355","10,480","10,505","10,320","652.22K","1.42%"
"05/13/2022","10,210","10,210","10,250","10,190","817.23K","0.00%"
"05/12/2022","10,210","10,225","10,285","10,155","1.37M","-3.68%"
"05/11/2022","10,600","10,500","10,610","10,500","804.44K","1.00%"
"05/10/2022","10,495","10,385","10,495","10,285","1.20M","-1.64%"
"05/09/2022","10,670","10,700","10,715","10,645","1.02M","-1.70%"
"05/06/2022","10,855","10,900","10,900","10,810","1.05M","-1.85%"
"05/04/2022","11,060","11,050","11,065","11,020","467.90K","0.05%"
"05/03/2022","11,055","10,990","11,095","10,990","620.98K","1.52%"
"05/02/2022","10,890","10,885","10,945","10,830","1.33M","-2.77%"
"04/29/2022","11,200","11,260","11,275","11,190","1.09M","-0.53%"
"04/28/2022","11,260","11,130","11,265","11,100","1.11M","1.58%"
"04/27/2022","11,085","10,955","11,085","10,900","1.35M","-2.29%"
"04/26/2022","11,345","11,335","11,370","11,310","575.15K","1.84%"
"04/25/2022","11,140","11,130","11,150","11,055","1.07M","-2.32%"
"04/22/2022","11,405","11,415","11,435","11,350","1.01M","-2.56%"
"04/21/2022","11,705","11,725","11,730","11,670","1.01M","-0.04%"
"04/20/2022","11,710","11,715","11,770","11,670","1.06M","0.60%"
"04/19/2022","11,640","11,615","11,660","11,555","824.78K","2.33%"
"04/18/2022","11,375","11,325","11,390","11,325","732.06K","-1.17%"
"04/15/2022","11,510","11,480","11,520","11,460","828.72K","-2.25%"
"04/14/2022","11,775","11,720","11,775","11,700","1.04M","1.12%"
"04/13/2022","11,645","11,585","11,645","11,545","1.26M","0.39%"
"04/12/2022","11,600","11,635","11,635","11,570","1.05M","-2.68%"
"04/11/2022","11,920","11,920","11,955","11,860","996.36K","-2.17%"
"04/08/2022","12,185","12,095","12,185","12,085","923.51K","0.87%"
"04/07/2022","12,080","12,030","12,080","11,990","1.66M","-2.93%"
"04/06/2022","12,445","12,415","12,445","12,390","802.54K","-1.50%"
"04/05/2022","12,635","12,650","12,655","12,600","889.70K","1.81%"
"04/04/2022","12,410","12,380","12,410","12,330","971.49K","-0.24%"
"04/01/2022","12,440","12,400","12,440","12,380","1.22M","-1.23%"
"03/31/2022","12,595","12,535","12,595","12,525","916.25K","-0.04%"
"03/30/2022","12,600","12,585","12,640","12,560","1.07M","0.32%"
"03/29/2022","12,560","12,515","12,580","12,515","1.36M","1.91%"
"03/28/2022","12,325","12,315","12,355","12,305","811.68K","0.00%"
"03/25/2022","12,325","12,295","12,325","12,250","868.38K","1.65%"
"03/24/2022","12,125","12,040","12,125","12,040","626.35K","-0.08%"
"03/23/2022","12,135","12,100","12,135","12,070","842.55K","2.36%"
"03/22/2022","11,855","11,805","11,885","11,805","853.35K","0.72%"
"03/21/2022","11,770","11,700","11,770","11,700","1.10M","3.20%"
"03/18/2022","11,405","11,450","11,450","11,340","557.18K","-0.18%"
"03/17/2022","11,425","11,580","11,580","11,410","1.24M","1.02%"
"03/16/2022","11,310","11,240","11,310","11,195","647.26K","3.71%"
"03/15/2022","10,905","10,990","10,995","10,880","885.38K","-2.59%"
"03/14/2022","11,195","11,110","11,195","11,095","670.76K","-0.89%"
"03/11/2022","11,295","11,285","11,295","11,200","619.97K","-0.31%"
"03/10/2022","11,330","11,335","11,375","11,250","812.18K","4.28%"
"03/08/2022","10,865","10,905","11,010","10,865","1.21M","-2.69%"
"03/07/2022","11,165","11,120","11,225","11,050","832.45K","-2.02%"
"03/04/2022","11,395","11,430","11,460","11,190","879.96K","-1.21%"
"03/03/2022","11,535","11,525","11,535","11,470","683.19K","1.14%"
"03/02/2022","11,405","11,375","11,430","11,325","801.45K","2.24%"
"02/28/2022","11,155","11,140","11,240","11,065","1.08M","0.00%"
"02/25/2022","11,155","11,150","11,220","11,125","1.66M","5.63%"
"02/24/2022","10,560","10,820","10,895","10,500","2.94M","-5.29%"
"02/23/2022","11,150","11,130","11,175","11,105","647.45K","1.97%"
"02/22/2022","10,935","11,000","11,010","10,915","1.61M","-3.14%"
"02/21/2022","11,290","11,165","11,315","11,125","899.12K","-1.83%"
"02/18/2022","11,500","11,445","11,525","11,395","1.23M","-1.96%"
"02/17/2022","11,730","11,765","11,790","11,675","1.06M","-0.30%"
"02/16/2022","11,765","11,770","11,795","11,740","766.90K","1.64%"
"02/15/2022","11,575","11,550","11,595","11,535","853.66K","0.92%"
"02/14/2022","11,470","11,500","11,525","11,460","1.09M","-2.38%"
"02/11/2022","11,750","11,880","11,880","11,730","1.46M","-3.05%"
"02/10/2022","12,120","12,145","12,145","12,085","877.09K","1.04%"
"02/09/2022","11,995","11,990","12,005","11,930","856.52K","1.27%"
"02/08/2022","11,845","11,900","11,925","11,825","1.20M","-1.50%"
"02/07/2022","12,025","12,050","12,060","11,940","615.04K","-0.46%"
"02/04/2022","12,080","12,015","12,110","12,005","1.38M","0.17%"
"02/03/2022","12,060","12,045","12,140","12,025","1.60M","3.43%"
"01/28/2022","11,660","11,520","11,665","11,520","1.60M","2.96%"
"01/27/2022","11,325","11,600","11,625","11,280","1.74M","-1.39%"
"01/26/2022","11,485","11,465","11,490","11,380","1.43M","-0.43%"
"01/25/2022","11,535","11,685","11,685","11,450","2.28M","-1.58%"
"01/24/2022","11,720","11,685","11,725","11,680","1.77M","-1.35%"
"01/21/2022","11,880","11,925","11,935","11,795","2.08M","-2.38%"
"01/20/2022","12,170","12,050","12,180","12,035","1.26M","0.08%"
"01/19/2022","12,160","12,230","12,275","12,105","1.81M","-1.94%"
"01/18/2022","12,400","12,530","12,530","12,375","1.33M","-0.80%"
"01/17/2022","12,500","12,500","12,545","12,485","1.21M","0.56%"
"01/14/2022","12,430","12,400","12,430","12,340","2.45M","-2.51%"
"01/13/2022","12,750","12,765","12,785","12,725","1.35M","-0.12%"
"01/12/2022","12,765","12,705","12,770","12,680","1.70M","1.27%"
"01/11/2022","12,605","12,655","12,655","12,575","2.50M","-0.36%"
"01/10/2022","12,650","12,590","12,650","12,565","1.63M","-0.94%"
"01/07/2022","12,770","12,785","12,815","12,745","2.02M","0.55%"
"01/06/2022","12,700","12,755","12,795","12,670","3.36M","-3.35%"
"01/05/2022","13,140","13,180","13,210","13,125","2.68M","-1.87%"
"01/04/2022","13,390","13,355","13,395","13,350","1.61M","1.52%"
"01/03/2022","13,190","13,190","13,205","13,145","1.54M","-0.57%"
"12/30/2021","13,265","13,190","13,265","13,165","886.40K","-0.15%"
"12/29/2021","13,285","13,300","13,320","13,260","942.77K","-0.11%"
"12/28/2021","13,300","13,260","13,310","13,260","1.54M","1.64%"
"12/27/2021","13,085","13,090","13,120","13,075","778.63K","0.35%"
"12/24/2021","13,040","13,055","13,085","13,040","861.90K","0.58%"
"12/23/2021","12,965","12,980","13,010","12,950","804.04K","1.17%"
"12/22/2021","12,815","12,805","12,815","12,770","816.80K","0.99%"
"12/21/2021","12,690","12,565","12,690","12,540","1.07M","1.68%"
"12/20/2021","12,480","12,610","12,610","12,480","1.36M","-1.54%"
"12/17/2021","12,675","12,705","12,755","12,670","3.69M","-3.80%"
"12/16/2021","13,175","13,145","13,175","13,075","1.24M","2.41%"
"12/15/2021","12,865","12,820","12,870","12,805","1.30M","-0.85%"
